experiment,layer,best_epoch,best_wer,best_cer,best_loss,final_epoch,final_wer,final_cer,final_loss,rtf,num_samples
hidden_layer_6,6,10,0.4137749737118822,0.11859703756936958,0.4603708310732766,10,0.4137749737118822,0.11859703756936958,0.4603708310732766,0.010978133090240974,500
hidden_layer_9,9,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,0.011061942763536982,500
baseline_mlp,12,10,0.8596214511041009,0.34257595720046313,1.1925395708235482,10,0.8596214511041009,0.34257595720046313,1.1925395708235482,0.01121264355810182,500
