experiment,train_samples,best_epoch,best_wer,best_cer,best_loss,final_epoch,final_wer,final_cer,final_loss,rtf,wer_drop_vs_previous,relative_wer_drop_vs_previous,num_samples
train_samples_900_layer9,900,10,0.4277602523659306,0.11735936439493752,0.42866605756774784,10,0.4277602523659306,0.11735936439493752,0.42866605756774784,0.009845556139889751,,,500
train_samples_1800_layer9,1800,10,0.3449001051524711,0.09106879067353375,0.3521459556761242,10,0.3449001051524711,0.09106879067353375,0.3521459556761242,0.010231289098075748,0.08286014721345952,0.19370698131760078,500
train_samples_3600_layer9,3600,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,0.011061942763536982,0.0495268138801262,0.1435975609756098,500
train_samples_5400_layer9,5400,10,0.2579390115667718,0.06741326306543698,0.2832298425454942,10,0.2579390115667718,0.06741326306543698,0.2832298425454942,0.010078225939718586,0.037434279705573115,0.1267354930580279,500
train_samples_7200_layer9,7200,10,0.24931650893796004,0.06336088154269973,0.2691163243282409,10,0.24931650893796004,0.06336088154269973,0.2691163243282409,0.010049340193202172,0.008622502628811757,0.03342845495311855,500
