experiment,decoder,role,best_epoch,best_wer,best_cer,best_loss,final_epoch,final_wer,final_cer,final_loss,rtf,decoder_parameters,decoder_trainable_parameters,total_parameters,trainable_parameters,num_samples
decoder_linear_layer9,Linear,逐帧线性,10,0.6027339642481598,0.1845929652253763,0.6455765158411056,10,0.6027339642481598,0.1845929652253763,0.6455765158411056,0.010233666752568007,23070,23070,94394782,23070,500
decoder_mlp_layer9,MLP,逐帧非线性,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,0.011061942763536982,410654,410654,94782366,410654,500
decoder_transformer_layer9,Transformer,跨帧上下文,10,0.3162986330178759,0.0844811753902663,0.392215355757683,10,0.3162986330178759,0.0844811753902663,0.392215355757683,0.010437492100847948,1784094,1784094,96155806,1784094,500
